2021-08-22 13:16:23        METADATA: Unknown types found, no types for AdId, AdvertisementOf, AdvertiserId, AdvertiserOf, DepositNonce, DidMethodSpecId, GlobalId, ProposalVotes, Public, TagCoefficient, TagScore, TagType
You are connected to chain Development using Parami Node v3.1.0-8b5068b-x86_64-macos
bestBlockNum 4975, targetBlockNum 4963
bestBlockNum 4976, targetBlockNum 4964
bestBlockNum 4977, targetBlockNum 4965
bestBlockNum 4978, targetBlockNum 4966
bestBlockNum 4979, targetBlockNum 4967
bestBlockNum 4980, targetBlockNum 4968
bestBlockNum 4981, targetBlockNum 4969
bestBlockNum 4982, targetBlockNum 4970
bestBlockNum 4983, targetBlockNum 4971
bestBlockNum 4984, targetBlockNum 4972
bestBlockNum 4985, targetBlockNum 4973
bestBlockNum 4986, targetBlockNum 4974
bestBlockNum 4987, targetBlockNum 4975
bestBlockNum 4988, targetBlockNum 4976
bestBlockNum 4989, targetBlockNum 4977
bestBlockNum 4990, targetBlockNum 4978
bestBlockNum 4991, targetBlockNum 4979
bestBlockNum 4992, targetBlockNum 4980
bestBlockNum 4993, targetBlockNum 4981
bestBlockNum 4994, targetBlockNum 4982
bestBlockNum 4995, targetBlockNum 4983
bestBlockNum 4996, targetBlockNum 4984
bestBlockNum 4997, targetBlockNum 4985
bestBlockNum 4998, targetBlockNum 4986
bestBlockNum 4999, targetBlockNum 4987
bestBlockNum 5000, targetBlockNum 4988
bestBlockNum 5001, targetBlockNum 4989
bestBlockNum 5002, targetBlockNum 4990
bestBlockNum 5003, targetBlockNum 4991
bestBlockNum 5004, targetBlockNum 4992
bestBlockNum 5005, targetBlockNum 4993
bestBlockNum 5006, targetBlockNum 4994
bestBlockNum 5007, targetBlockNum 4995
bestBlockNum 5008, targetBlockNum 4996
bestBlockNum 5009, targetBlockNum 4997
bestBlockNum 5010, targetBlockNum 4998
bestBlockNum 5011, targetBlockNum 4999
bestBlockNum 5012, targetBlockNum 5000
bestBlockNum 5013, targetBlockNum 5001
bestBlockNum 5014, targetBlockNum 5002
bestBlockNum 5015, targetBlockNum 5003
bestBlockNum 5016, targetBlockNum 5004
bestBlockNum 5017, targetBlockNum 5005
bestBlockNum 5018, targetBlockNum 5006
bestBlockNum 5019, targetBlockNum 5007
bestBlockNum 5020, targetBlockNum 5008
bestBlockNum 5021, targetBlockNum 5009
bestBlockNum 5022, targetBlockNum 5010
bestBlockNum 5023, targetBlockNum 5011
bestBlockNum 5024, targetBlockNum 5012
bestBlockNum 5025, targetBlockNum 5013
bestBlockNum 5026, targetBlockNum 5014
bestBlockNum 5027, targetBlockNum 5015
bestBlockNum 5028, targetBlockNum 5016
bestBlockNum 5029, targetBlockNum 5017
bestBlockNum 5030, targetBlockNum 5018
bestBlockNum 5031, targetBlockNum 5019
